date;rate
01/01/1999;3.213
01/02/1999;2.998
01/03/1999;3.079
01/04/1999;2.939
03/05/1999;2.680
01/06/1999;2.735
01/07/1999;2.910
02/08/1999;3.188
01/09/1999;3.284
01/10/1999;3.401
01/11/1999;3.756
01/12/1999;3.763
03/01/2000;3.885
01/02/2000;4.079
01/03/2000;4.165
03/04/2000;4.304
02/05/2000;4.573
01/06/2000;4.983
03/07/2000;5.041
01/08/2000;5.164
01/09/2000;5.261
02/10/2000;5.173
01/11/2000;5.272
01/12/2000;5.054
02/01/2001;4.692
01/02/2001;4.505
01/03/2001;4.532
02/04/2001;4.314
02/05/2001;4.728
01/06/2001;4.396
02/07/2001;4.305
01/08/2001;4.215
03/09/2001;3.976
01/10/2001;3.493
01/11/2001;3.193
03/12/2001;3.183
02/01/2002;3.312
01/02/2002;3.633
01/03/2002;3.617
02/04/2002;3.994
02/05/2002;3.771
03/06/2002;3.999
01/07/2002;3.723
01/08/2002;3.479
02/09/2002;3.365
01/10/2002;3.062
01/11/2002;3.069
02/12/2002;3.010
02/01/2003;2.734
03/02/2003;2.658
03/03/2003;2.360
01/04/2003;2.373
02/05/2003;2.355
02/06/2003;2.151
01/07/2003;2.021
01/08/2003;2.232
01/09/2003;2.314
01/10/2003;2.117
03/11/2003;2.391
01/12/2003;2.503
02/01/2004;2.275
02/02/2004;2.251
01/03/2004;2.092
01/04/2004;1.978
03/05/2004;2.230
01/06/2004;2.332
01/07/2004;2.387
02/08/2004;2.353
01/09/2004;2.275
01/10/2004;2.372
01/11/2004;2.300
01/12/2004;2.278
03/01/2005;2.343
01/02/2005;2.288
01/03/2005;2.344
01/04/2005;2.335
02/05/2005;2.202
01/06/2005;2.140
01/07/2005;2.091
01/08/2005;2.221
01/09/2005;2.197
03/10/2005;2.334
01/11/2005;2.551
01/12/2005;2.756
02/01/2006;2.855
01/02/2006;2.900
01/03/2006;2.991
03/04/2006;3.254
02/05/2006;3.314
01/06/2006;3.369
03/07/2006;3.507
01/08/2006;3.542
01/09/2006;3.636
02/10/2006;3.748
01/11/2006;3.832
01/12/2006;3.851
02/01/2007;4.030
01/02/2007;4.080
01/03/2007;4.077
02/04/2007;4.193
01/05/2007;4.298
01/06/2007;4.466
02/07/2007;4.524
01/08/2007;4.522
03/09/2007;4.783
01/10/2007;4.716
01/11/2007;4.630
